Date,Open,High,Low,Close,Adj Close,Volume
2016-11-09,116.444443,133.333328,116.444443,128.696289,124.573097,2738346
2016-11-10,132.148148,136.562958,128.370377,129.288895,125.146706,1551501
2016-11-11,128.592590,133.333328,127.392593,130.562958,126.379951,1093844
2016-11-15,129.777771,131.762955,127.407410,129.807404,125.648621,1213025
2016-11-16,130.370377,132.444443,127.703705,129.096298,124.960281,269672
2016-11-17,127.703705,131.674072,127.703705,130.429626,126.250900,732607
2016-11-18,130.325928,131.851852,128.888885,130.518524,126.336937,285741
2016-11-21,128.000000,131.022217,128.000000,130.340744,126.164871,250344
2016-11-22,128.044449,131.674072,128.044449,130.607407,126.422981,244235
2016-11-23,129.037033,131.851852,128.385178,131.318512,127.111298,537819
2016-11-24,130.029633,130.918518,129.274078,129.896301,125.734657,92839
2016-11-25,129.185181,130.666672,128.592590,129.318512,125.175377,150514
2016-11-28,130.370377,130.370377,125.940742,126.785187,122.723228,153073
2016-11-29,127.199997,130.355560,126.088890,128.918518,124.788200,134382
2016-11-30,128.296295,130.800003,128.296295,130.177780,126.007126,176397
2016-12-01,128.933334,130.340744,128.000000,128.311111,124.200249,58120
2016-12-02,127.718521,130.074081,127.718521,128.029633,123.927811,64297
2016-12-05,127.466667,129.185181,126.518517,128.148148,124.042519,82569
2016-12-06,128.888885,128.888885,124.503700,125.333336,121.317879,66001
2016-12-07,124.607407,126.207405,120.740738,121.674072,117.775856,168318
2016-12-08,122.059258,127.392593,121.792595,125.259262,121.246185,131760
2016-12-09,126.014816,126.044441,122.681480,123.022224,119.080818,63223
2016-12-12,120.000000,125.037041,120.000000,124.681480,120.686905,67564
2016-12-13,122.074074,124.800003,122.074074,123.733330,119.769135,24273
2016-12-14,124.740738,124.740738,123.125923,123.422218,119.467995,54138
2016-12-15,121.481483,124.740738,121.481483,124.474075,120.486153,78836
2016-12-16,123.111115,126.222221,121.777779,122.355553,118.435493,212479
2016-12-19,122.962959,122.977776,120.296295,121.777779,117.876236,139066
2016-12-20,122.666664,122.814812,120.000000,120.311111,116.456558,73747
2016-12-21,120.607407,120.607407,117.229630,117.822220,114.047394,118246
2016-12-22,117.940742,118.518517,107.229630,113.792595,110.146889,171730
2016-12-23,112.607407,114.370369,109.629631,110.207405,106.676559,78171
2016-12-26,109.333336,109.333336,104.000000,106.503700,103.091522,122735
2016-12-27,105.777779,109.629631,104.562965,108.192589,104.726303,67381
2016-12-28,107.674072,109.940742,106.992592,108.829628,105.342926,94624
2016-12-29,108.844444,111.377777,107.570374,110.874077,107.321869,69862
2016-12-30,111.674072,113.925926,111.096298,112.755554,109.143082,51985
2017-01-02,114.370369,118.518517,112.903702,118.296295,114.506302,50341
2017-01-03,121.807404,124.296295,120.888885,121.629631,117.732841,210201
2017-01-04,123.525925,123.851852,120.000000,123.022224,119.080818,97618
2017-01-05,123.422218,124.385185,121.807404,123.792595,119.826492,91428
2017-01-06,123.792595,124.074074,121.511108,122.340736,118.421158,61826
2017-01-09,122.414818,124.429626,120.903702,123.703705,119.740463,79312
2017-01-10,122.148148,124.148148,122.148148,123.659256,119.697433,33679
2017-01-11,123.807404,123.866669,122.074074,122.459259,118.535881,83268
2017-01-12,122.385185,123.555557,122.385185,122.785187,118.851372,45991
2017-01-13,121.703705,124.429626,121.703705,123.674072,119.711769,90426
2017-01-16,122.074074,123.955559,122.074074,122.696297,118.765335,39622
2017-01-17,123.703705,123.703705,121.511108,122.044441,118.134361,35181
2017-01-18,122.977776,123.125923,120.474075,121.022224,117.144897,254650
2017-01-19,121.940742,122.207405,121.140739,121.762962,117.861893,44256
2017-01-20,121.851852,121.851852,119.111115,119.881477,116.040695,40203
2017-01-23,120.000000,120.948151,117.392593,117.540741,113.774948,21870
2017-01-24,117.037041,120.562965,117.037041,119.925926,116.083702,35791
2017-01-25,118.770370,121.348145,117.970367,119.955559,116.112404,43608
2017-01-27,118.548149,119.377777,116.000000,118.148148,114.362892,92502
2017-01-30,118.148148,118.814812,117.037041,118.592590,114.793098,85218
2017-01-31,117.333336,118.192589,116.755554,117.807404,114.033073,27465
2017-02-01,117.807404,119.111115,116.740738,118.074074,114.291191,27779
2017-02-02,117.481483,119.985184,117.348145,117.599998,113.832314,17887
2017-02-03,115.851852,118.444443,115.555557,116.696297,112.957558,158591
2017-02-06,117.911110,120.000000,116.444443,119.511108,115.682190,113076
2017-02-07,118.370369,120.103706,118.355553,119.866669,116.026344,247050
2017-02-08,118.518517,119.985184,118.014816,119.688889,115.854263,76086
2017-02-09,118.977776,119.703705,118.222221,119.629631,115.796906,75178
2017-02-10,119.303703,119.585182,117.940742,119.199997,115.381050,25947
2017-02-13,118.251854,119.792595,118.251854,119.688889,115.854263,83808
2017-02-14,118.814812,119.274071,118.074074,118.800003,114.993866,26611
2017-02-15,119.614815,119.703705,117.925926,119.525925,115.696526,88678
2017-02-16,119.851852,119.851852,116.148148,118.888885,115.079903,519743
2017-02-17,118.518517,119.703705,118.518517,119.377777,115.553131,44840
2017-02-20,116.918518,120.681480,116.918518,119.807404,115.968987,316797
2017-02-21,118.888885,120.014816,117.407410,118.562965,114.764420,444683
2017-02-22,118.577774,119.111115,114.103706,115.081482,111.394478,412205
2017-02-23,114.118515,117.037041,112.637039,115.807404,112.097145,131074
2017-02-27,116.474075,117.881477,114.562965,117.096298,113.344742,40658
2017-02-28,117.096298,118.814812,114.962959,115.644447,111.939415,188767
2017-03-01,118.222221,118.222221,112.592590,114.237038,110.577095,280681
2017-03-02,114.651848,114.962959,110.829628,111.540741,107.967178,106474
2017-03-03,111.792595,113.333336,109.644447,110.459259,106.920349,193725
2017-03-06,110.400002,114.355553,109.629631,110.429626,106.891647,67061
2017-03-07,109.837036,112.592590,109.777779,111.125923,107.565651,83727
2017-03-08,110.251854,110.948151,108.148148,108.474075,104.998756,53021
2017-03-09,107.274071,108.444443,105.214813,105.644447,102.259789,99285
2017-03-10,106.666664,107.940742,105.481483,106.014816,102.618286,49410
2017-03-14,108.740738,108.740738,100.740738,103.199997,99.893654,169705
2017-03-15,103.111115,105.185188,102.459259,103.555557,100.237831,109522
2017-03-16,103.407410,104.296295,102.548149,103.748146,100.424240,109154
2017-03-17,104.281479,105.970367,103.511108,105.466667,102.087708,269446
2017-03-20,105.955559,115.185188,105.362961,110.933334,107.379227,503438
2017-03-21,114.074074,115.851852,109.925926,110.400002,106.862984,729367
2017-03-22,109.659256,112.474075,108.400002,110.666664,107.121101,418810
2017-03-23,111.125923,112.800003,110.992592,111.777779,108.196617,305268
2017-03-24,111.644447,112.800003,111.111115,111.985184,108.397369,1176113
2017-03-27,112.000000,115.466667,112.000000,114.000000,110.347641,792102
2017-03-28,114.577774,115.466667,112.592590,113.022224,109.401199,83723
2017-03-29,112.888885,114.074074,111.703705,112.266663,108.669846,60925
2017-03-30,110.814812,114.296295,110.814812,113.777779,110.132545,83581
2017-03-31,113.214813,124.444443,112.444443,119.985184,116.141075,2195248
2017-04-03,119.644447,121.481483,118.518517,119.896294,116.055031,437342
2017-04-05,119.822220,122.770370,119.703705,121.674072,117.775856,395232
2017-04-06,121.481483,129.481476,120.000000,124.725922,120.729927,552487
2017-04-07,124.237038,127.985184,124.044441,126.074074,122.034889,228771
2017-04-10,126.103706,128.888885,125.955559,128.355560,124.243271,172918
2017-04-11,126.237038,129.925919,125.659256,128.933334,124.802551,200208
2017-04-12,126.814812,134.518524,126.014816,133.614807,129.334030,888428
2017-04-13,133.896301,143.407410,133.792587,141.837036,137.292831,1469670
2017-04-17,143.703705,147.851852,140.814819,141.555557,137.020386,747150
2017-04-18,140.177780,146.340744,140.177780,143.674072,139.071014,624418
2017-04-19,142.592590,146.074081,142.222229,145.022217,140.375961,618114
2017-04-20,144.014816,145.481476,141.659256,142.311111,137.751740,227518
2017-04-21,143.407410,143.407410,132.444443,138.148148,133.722153,761754
2017-04-24,138.148148,146.325928,135.422226,138.414810,133.980240,427450
2017-04-25,139.244446,141.925919,136.296295,136.933334,132.546249,257576
2017-04-26,135.111115,140.740738,135.111115,138.696289,134.252701,436755
2017-04-27,140.711105,141.037033,137.348145,140.088882,135.600693,184639
2017-04-28,138.740738,141.333328,138.281479,139.362961,134.897995,139158
2017-05-02,136.592590,139.555557,136.592590,139.333328,134.869370,347621
2017-05-03,136.888885,144.296295,136.888885,143.022217,138.440048,906190
2017-05-04,141.481476,144.266663,139.037033,139.703705,135.227829,241585
2017-05-05,144.444443,147.244446,142.251846,143.570374,138.970627,1224355
2017-05-08,142.562958,148.148148,142.562958,145.822220,141.150345,626028
2017-05-09,146.666672,149.925919,145.185181,147.407410,142.684769,1014261
2017-05-10,148.355560,149.185181,146.829636,147.881485,143.143661,397335
2017-05-11,148.888885,148.977783,145.185181,145.807404,141.136017,196222
2017-05-12,148.118515,149.703705,142.592590,144.518524,139.888412,1431111
2017-05-15,144.577774,148.000000,143.703705,144.207413,139.587265,182449
2017-05-16,144.888885,146.503708,144.592590,145.985184,141.308060,236027
2017-05-17,147.259262,149.111115,146.370377,148.444443,143.688553,857304
2017-05-18,145.229630,147.674072,144.770370,145.377777,140.720139,258336
2017-05-19,146.340744,149.333328,142.222229,147.333328,142.613022,235521
2017-05-22,145.777771,146.962967,142.385178,145.644440,140.978256,136282
2017-05-23,143.274078,145.896301,140.755554,142.770370,138.196274,253931
2017-05-24,142.829636,145.896301,138.103699,139.022217,134.568192,269935
2017-05-25,141.333328,144.562958,137.614807,143.051849,138.468719,435010
2017-05-26,144.518524,145.185181,142.222229,144.325928,139.701981,69410
2017-05-29,140.770370,143.274078,140.770370,142.503708,137.938141,115846
2017-05-30,141.007401,146.666672,140.740738,144.977783,140.332962,66008
2017-05-31,145.185181,147.955551,144.340744,147.600006,142.871155,191369
2017-06-01,146.770370,148.444443,144.088882,148.029633,143.287018,190809
2017-06-02,148.148148,152.740738,146.651855,151.303696,146.456177,531896
2017-06-05,152.296295,159.703705,151.674072,156.681488,151.661682,806503
2017-06-06,155.659256,157.985184,154.903702,156.933334,151.905472,419110
2017-06-07,148.740738,155.851852,148.740738,153.585190,148.664597,289976
2017-06-08,153.185181,157.925919,151.111115,151.881485,147.015488,245021
2017-06-09,153.170364,156.859253,151.303696,152.251846,147.373978,472034
2017-06-12,152.888885,159.940735,152.459259,158.948151,153.855743,480411
2017-06-13,159.703705,162.370377,157.037033,161.437042,156.264877,553925
2017-06-14,162.844437,163.540741,158.385178,159.940735,154.816513,240522
2017-06-15,159.896301,163.259262,159.896301,161.718521,156.537354,166711
2017-06-16,161.125931,166.237030,155.259262,162.607407,157.397766,3441298
2017-06-19,162.962967,164.874069,160.103699,161.570374,156.393951,82329
2017-06-20,150.222229,160.888885,150.222229,158.948151,153.855743,40273
2017-06-21,157.037033,159.659256,153.229630,154.533340,149.582352,150052
2017-06-22,156.622223,156.622223,154.222229,154.533340,149.582352,77159
2017-06-23,155.644440,155.644440,151.703705,152.399994,147.517380,92684
2017-06-27,150.607407,152.740738,146.962967,149.792587,144.993515,112434
2017-06-28,148.740738,154.962967,148.444443,151.925919,147.058487,400055
2017-06-29,154.962967,157.007401,152.385178,153.881485,148.951416,572990
2017-06-30,150.014816,160.000000,150.014816,158.474075,153.396866,86079
2017-07-03,157.377777,158.488892,153.303696,154.355560,149.410294,134824
2017-07-04,157.037033,157.037033,153.037033,155.051849,150.084259,52876
2017-07-05,154.918518,156.429626,153.214813,154.399994,149.453308,125880
2017-07-06,154.666672,161.481476,154.370377,155.970367,150.973373,196013
2017-07-07,155.185181,168.711105,154.681488,157.600006,152.550797,4000512
2017-07-10,152.859253,155.555557,141.066666,154.637039,149.682755,49923
2017-07-11,155.259262,156.711105,151.125931,155.392593,150.414078,207549
2017-07-12,155.377777,162.370377,151.407410,160.399994,155.261063,1160260
2017-07-13,161.970367,162.607407,155.555557,157.051849,152.020172,147747
2017-07-14,155.570374,158.518524,152.592590,154.903702,149.940872,133035
2017-07-17,154.074081,155.392593,151.703705,152.429626,147.546066,65427
2017-07-18,152.888885,152.888885,148.740738,151.081482,146.241119,595890
2017-07-19,151.170364,153.481476,150.014816,151.688889,146.829041,58583
2017-07-20,151.111115,154.518524,150.518524,151.288895,146.441895,59683
2017-07-21,152.385178,152.414810,148.740738,149.570374,144.778427,52970
2017-07-24,149.866669,152.281479,147.822220,148.637039,143.874985,44668
2017-07-25,146.666672,154.074081,146.666672,149.644440,144.850113,436694
2017-07-26,147.851852,153.585190,147.851852,152.459259,147.574738,99812
